Status,CU,Projects,Description,Impact,July,Aug,Sep,Oct,Nov,Dec,Jan,Beyond
,,"Core FAQ Content Page
- Divorce Mediation FAQ (Divorce Mediation - Supporting Text Link)","URL: /divorce-mediation/divorce-mediation-faq/ (new build)
- FAQ Module Brief, 600-1,200 words. Tier 4, Wave 6, Priority Medium.
- Consolidate the highest-frequency divorce mediation questions with concise, directly answerable responses. Apply FAQPage schema.
- Required return link to Divorce Mediation. Internal links: Divorce Mediation; Pricing; How Mediation Works; Free Consultation.
- Placement: compact descriptive text link in the Arizona Divorce Mediation Guides, Checklists, and FAQs module.
Guardrail: include neutral legal-information-not-advice disclaimers. Do not duplicate answers already written as on-hub H3/H4 topics.","Concise question-and-answer blocks are the format large language models extract most readily, making this the cheapest page in the cluster per AI citation earned. Structured FAQ markup also increases SERP real estate and captures the long tail of conversational queries that never justify their own page.",,,,,,,,3
,,"Core Educational Content Page
- Glossary of Arizona Divorce Mediation Terms (Divorce Mediation - Supporting Text Link)","URL: /divorce-mediation/glossary-of-arizona-divorce-mediation-terms/ (new build)
- Educational / Glossary Brief, 800-1,500 words. Tier 4, Wave 6, Priority Medium.
- Define Arizona-specific terminology: legal decision-making, parenting time, community property, spousal maintenance, consent decree, Rule 67.3, conciliation court.
- Required return link to Divorce Mediation. Internal links: Divorce Mediation; Pricing; How Mediation Works; Free Consultation.
- Placement: compact descriptive text link in the Arizona Divorce Mediation Guides, Checklists, and FAQs module.
Guardrail: include neutral legal-information-not-advice disclaimers.","Establishes the entity vocabulary that ties the whole site together, giving Google and AI systems explicit definitions that connect Arizona statutory terms to Aurit's service pages. Glossaries also attract definitional queries and internal-link opportunities from every page in the account, making this the highest-density internal linking asset available.",,,,,,,,3
,,=== CHILD SUPPORT MEDIATION HUB CLUSTER (8 URLs / 7 child links / 12 on-hub topics / 2 not surfaced) ===,,,,,,,,,,
,,"Core Service Hub Page
- Child Support Mediation (L1 Main Practice Hub - Optimize, Expand & Build All H2 Sections)","URL: /child-support-mediation/ (existing page - optimize and expand)
Scope: complete V4 hub build - page frame plus all FIVE H2 section modules on this one URL. Finish this page before the 7 expansion pages are briefed, so every child page has a live parent section and a prepared anchor slot to publish into.

PAGE FRAME (6 hrs)
  - Rebuild the page opening to V4 format: unlinked H1 Child Support Mediation, 2-3 paragraph overview, trust proof, primary CTA, and an optional jump-link table of contents to the five H2 section IDs.
  - Target 1,600-2,400 words on the hub itself.
  - Establish the five approved H2 topic sections on this single URL.
  - Confirm all 7 approved standalone children carry a required return link to this hub.
Owner: SEO Strategist + Legal SME. Guardrail: do not imply the mediator can approve deviations; the court retains final authority. Requires legal review for all guideline statements.

H2 SECTION 1 - Arizona Child Support Guidelines, Calculations, and Preparation (3 hrs)
  Internal group: Calculation, Guidelines & Preparation - internal label only, never the public heading
  - Unlinked H2: Arizona Child Support Guidelines, Calculations, and Preparation
  - 1-2 sentence section introduction
  - 3 featured cards (linked H3 + one sentence each): Child Support Calculation Prep for Mediation; Using the Arizona Child Support Calculator in Mediation; What Income Counts for Child Support in Mediation
  - 2 section-first / FAQ topics written on the hub as unlinked H3/H4 content, 150-450 words each: Child Support Input Worksheet; Deviating From Child Support Guidelines in Mediation
  Cross-link to the existing on-site Child Support Calculator (ClickUp 86ba3xx29, Complete).
  Guardrail: court and guideline authority must be explicit. The mediator helps parties understand inputs and reach agreement; the mediator does not guarantee court approval.

H2 SECTION 2 - Child Support Mediation for Complex Income and Employment (4 hrs)
  Internal group: Income & Employment Complexity - internal label only, never the public heading
  - Unlinked H2: Child Support Mediation for Complex Income and Employment
  - 1-2 sentence section introduction
  - 2 featured cards (linked H3 + one sentence): Self-Employed Income and Child Support Mediation; High-Income Child Support Mediation
  - 4 section-first / FAQ topics written on the hub as unlinked H3/H4 content, 150-450 words each: Variable Income Child Support Mediation; Child Support for Unemployed or Underemployed Parent; Child Support After Job Loss Mediation; Imputed Income in Child Support Mediation
  Guardrail: court and guideline authority must be clear; the mediator helps parties understand inputs and reach agreement, not guarantee court approval.

H2 SECTION 3 - Childcare, Medical, and Other Child Expense Mediation (3 hrs)
  Internal group: Additional Child Expenses - internal label only, never the public heading
  - Unlinked H2: Childcare, Medical, and Other Child Expense Mediation
  - 1-2 sentence section introduction
  - No featured cards and no text links in this module - it is a content-only section.
  - 3 section-first topics written on the hub as unlinked H3/H4 content, 150-450 words each: Medical Insurance and Child Support Mediation; Daycare and Childcare Expense Mediation; Extracurricular and Unreimbursed Expense Mediation
  Do not create child URLs for these topics. Promote only if demand and depth later justify a page.
  Guardrail: court and guideline authority must be clear; the mediator does not determine allocation.

H2 SECTION 4 - Child Support Modifications, Arrears, and Enforcement (3 hrs)
  Internal group: Changes, Arrears & Enforcement - internal label only, never the public heading
  - Unlinked H2: Child Support Modifications, Arrears, and Enforcement
  - 1-2 sentence section introduction
  - 1 featured card (linked H3 + one sentence): Child Support Modification Mediation
  - 3 section-first / FAQ topics written on the hub as unlinked H3/H4 content, 150-450 words each: Child Support Review and Adjustment Mediation; Child Support Arrears Discussion in Mediation; When Child Support Ends in Arizona
  Do not surface Child Support Enforcement and Mediation (governance: do not build). Enforcement and contempt are court-action intent - route to post-decree information and legal resources instead.
  Guardrail: mediation can help parties discuss changes, but modifications require proper filing and court approval.

H2 SECTION 5 - Child Support Mediation for Unmarried Parents (2 hrs)
  Internal group: Support for Unmarried Parents - internal label only, never the public heading
  - Unlinked H2: Child Support Mediation for Unmarried Parents
  - 1-2 sentence section introduction
  - 1 featured card (linked H3 + one sentence): Child Support for Unmarried Parents Mediation
  - No section-first or FAQ topics in this module.
  Do not surface the duplicate record Child Support Mediation for Unmarried Parents (governance: consolidate into /child-support-mediation/child-support-for-unmarried-parents-mediation/).
  Cross-link to Mediation for Unmarried Parents on the Parenting Plan hub so parentage intent routes there.

PUBLISHING SEQUENCE
- Phase 1 (this row): publish the page frame, every H2 heading, every section introduction, and every unlinked on-hub H3/H4 topic. Those need no child URLs and go live immediately.
- Phase 2 (this row): stage the featured-card and text-link slots for each approved child page. Where the child page is already live, activate the link now. Where it is not, leave the slot built but unpublished.
- Phase 3 (expansion page rows): as each child page publishes, switch on its prepared card or anchor. No hub rebuild required - the section already exists.","Establishes the canonical Arizona child support mediation entity and separates it cleanly from the custody and parenting plan hubs, which currently compete for overlapping parent intent. A structured hub lets Google distinguish support calculation intent from parenting time intent, and routes the five distinct question families - calculation, income complexity, added expenses, modification, and unmarried parents - to the right destination instead of a single generic page. Building the page frame and all five H2 sections as one deliverable means the hub is structurally complete before any expansion page is written, so each child page publishes into a section that already ranks and already passes internal authority - rather than arriving as an orphan that triggers a hub rewrite.",,,,21,,,,
,,"Core Process Content Page
- Child Support Calculation Prep for Mediation (Child Support Mediation - Featured H3 Card)","URL: /child-support-mediation/child-support-calculation-prep-for-mediation/ (new build)
- Process Page Brief, 1,200-2,000 words. Tier 3, Wave 1, Priority High.
- Specify the documents, income records, parenting time counts, and expense figures parents should gather before the session.
- Required return link to Child Support Mediation. Internal links: Child Support Mediation; Pricing; How Mediation Works; Free Consultation.
- Placement: featured linked H3 card in the Arizona Child Support Guidelines, Calculations, and Preparation module.
Guardrail: court and guideline authority must be clear; the mediator does not guarantee court approval.","Preparation content shortens sessions and improves outcomes, so it pays for itself in delivery efficiency as well as rankings. It also targets a query stage where the user has already chosen mediation and is simply organizing, which produces some of the highest booking rates in the account.",,,,,,4,,
,,"Core Resource Content Page
- Using the Arizona Child Support Calculator in Mediation (Child Support Mediation - Featured H3 Card)","URL: /child-support-mediation/using-the-arizona-child-support-calculator-in-mediation/ (new build)
- Resource / Tool Brief, 1,000-2,500 words plus tool integration. Tier 3, Wave 4, Priority High.
- Walk through each guideline input, show how parenting time and added expenses change the figure, and explain why the number is a starting point rather than an outcome.
- Integrate with or link directly to the existing on-site Child Support Calculator.
- Required return link to Child Support Mediation. Internal links: Child Support Mediation; Pricing; How Mediation Works; Free Consultation.
- Placement: featured linked H3 card in the Arizona Child Support Guidelines, Calculations, and Preparation module.
Guardrail: include appropriate disclaimers; results are estimates, not court determinations.","Calculator-related searches are among the highest-volume non-brand terms in Arizona family law and pull users who are actively quantifying a decision. Pairing the tool with an explanation page converts calculator traffic that would otherwise bounce, and the interaction time it generates is a strong engagement signal for the whole hub.",,,,,,,,5
,,"Core Educational Content Page
- What Income Counts for Child Support in Mediation (Child Support Mediation - Featured H3 Card)","URL: /child-support-mediation/what-income-counts-for-child-support-in-mediation/ (new build)
- Educational / Glossary Brief, 800-1,500 words. Tier 4, Wave 4, Priority Medium.
- Define gross income under the Arizona guidelines, including bonuses, overtime, self-employment earnings, benefits, and non-cash compensation.
- Required return link to Child Support Mediation. Internal links: Child Support Mediation; Self-Employed Income and Child Support Mediation; Pricing; Free Consultation.
- Placement: featured linked H3 card in the Arizona Child Support Guidelines, Calculations, and Preparation module.
Guardrail: court and guideline authority must be clear; the mediator does not determine income.","Income definition is the most disputed input in every support negotiation and the question parents research most before a session. Clear definitional content is precisely what AI systems retrieve for what counts as income queries, and it defuses the argument that most often stalls mediation.",,,,,,,,3
,,"Core Situational Content Page
- Self-Employed Income and Child Support Mediation (Child Support Mediation - Featured H3 Card)","URL: /child-support-mediation/self-employed-income-and-child-support-mediation/ (new build)
- Situation / Use-Case Brief, 1,100-1,900 words. Tier 3, Wave 1, Priority High.
- Cover business income versus personal draw, add-backs, depreciation, documentation both parents can accept, and when a neutral financial professional helps.
- Required return link to Child Support Mediation. Internal links: Child Support Mediation; What Income Counts for Child Support in Mediation; Business Owner Divorce Mediation; Free Consultation.
- Placement: featured linked H3 card in the Child Support Mediation for Complex Income and Employment module.
Guardrail: court and guideline authority must be clear; recommend independent financial review.","Self-employed parents represent the highest-conflict and highest-fee support matters, and they are the segment most poorly served by generic calculator content. Owning this query connects the child support cluster to the business owner and property division clusters, creating a cross-hub path toward the account's most valuable matters.",,,,,,,,4
,,"Core Situational Content Page
- High-Income Child Support Mediation (Child Support Mediation - Featured H3 Card)","URL: /child-support-mediation/high-income-child-support-mediation/ (new build)
- Situation / Use-Case Brief, 1,100-1,900 words. Tier 3, Wave 4, Priority Medium.
- Explain what happens above the guideline schedule cap, how parents structure agreements for children's actual needs, and how privacy is maintained.
- Required return link to Child Support Mediation. Internal links: Child Support Mediation; High-Asset Divorce Mediation; High-Income Spousal Maintenance Mediation; Free Consultation.
- Placement: featured linked H3 card in the Child Support Mediation for Complex Income and Employment module.
Guardrail: court and guideline authority must be clear; avoid figure-specific outcome projections.","Above-cap support is a genuinely under-served query in Arizona and attracts the highest-value parent profile in the cluster. It also links the support hub to the high-asset divorce and high-income maintenance pages, reinforcing a premium-segment cluster that AI systems can surface as a coherent specialty.",,,,,,,,4
In-Progress,https://rocketclicks.clickup.com/t/9014341759/86bb2fggu,"Core Process Content Page
- Child Support Modification Mediation (Child Support Mediation - Featured H3 Card)","URL: /child-support-mediation/child-support-modification-mediation/
ALREADY IN PRODUCTION - ClickUp 86bb2fggu, In-Progress, 4 hours allocated in July. No additional build hours requested here; this row exists so the cluster reconciles.
On publish, confirm V4 placement:
- Required return link to Child Support Mediation, plus Post-Decree Mediation.
- Featured linked H3 card in the Child Support Modifications, Arrears, and Enforcement module.
- Verify the substantial-and-continuing-change framing and that court approval language is present.","Already funded in July. Listed here to confirm hub placement, because a published page that is not featured on its hub receives none of the internal authority the cluster is designed to distribute.",,,,,,,,
,,"Core Situational Content Page
- Child Support for Unmarried Parents Mediation (Child Support Mediation - Featured H3 Card)","URL: /child-support-mediation/child-support-for-unmarried-parents-mediation/ (new build)
- Situation / Use-Case Brief, 1,100-1,900 words. Tier 3, Wave 1, Priority High.
- Explain how parentage, parenting time, and shared expenses interact for never-married parents and what must be established before support can be agreed.
- Required return link to Child Support Mediation. Internal links: Mediation for Unmarried Parents; Parenting Plan Mediation; Pricing; Free Consultation.
- Placement: featured linked H3 card in the Child Support Mediation for Unmarried Parents module.
Guardrail: do not imply the mediator establishes legal parentage. Court and guideline authority must be clear.
Dedupe: this is the canonical URL. Retire the duplicate alias record.","Unmarried parents represent a substantial share of Arizona births and are almost entirely unserved by mediation marketing, which is oriented to divorce. Owning this entry point opens a demand pool with no meaningful competition and routes families into the parenting plan and custody clusters where lifetime value is highest.",,,,,,,,4
,,=== CHILD CUSTODY MEDIATION HUB CLUSTER (8 URLs / 7 child links / 8 on-hub topics / 3 not surfaced) ===,,,,,,,,,,
,,"Core Service Hub Page
- Child Custody Mediation (L1 Main Practice Hub - Optimize, Expand & Build All H2 Sections)","URL: /child-custody-mediation/ (existing page - optimize and expand)
Scope: complete V4 hub build - page frame plus all SIX H2 section modules on this one URL. Finish this page before the 7 expansion pages are briefed, so every child page has a live parent section and a prepared anchor slot to publish into.

PAGE FRAME (6 hrs)
  - Rebuild the page opening to V4 format: unlinked H1 Child Custody Mediation, 2-3 paragraph overview, trust proof, primary CTA, and an optional jump-link table of contents to the six H2 section IDs.
  - Target 1,800-2,600 words on the hub itself.
  - Establish the six approved H2 topic sections on this single URL.
  - Confirm all 7 approved standalone children carry a required return link to this hub.
Dependency: coordinate scope with the Parenting Plan Mediation hub to avoid cannibalization - custody owns decision-making authority and legal framework; parenting plan owns schedules and logistics.
Owner: SEO Strategist + Legal SME. Guardrail: avoid promising custody outcomes; preserve child-centered neutrality; use Arizona terminology (legal decision-making and parenting time, not custody and visitation) consistently.

H2 SECTION 1 - Child Custody, Legal Decision-Making, and Your Child's Best Interests (2 hrs)
  Internal group: Decision-Making & Best Interests - internal label only, never the public heading
  - Unlinked H2: Child Custody, Legal Decision-Making, and Your Child's Best Interests
  - 1-2 sentence section introduction
  - 3 featured cards (linked H3 + one sentence each): Legal Decision-Making Mediation; Legal Decision-Making vs Parenting Time; Best Interests of the Child in Mediation
  - 1 section-first topic written on the hub as unlinked H3/H4 content, 150-450 words: Decision-Making for School and Medical Issues
  Guardrail: avoid promising custody outcomes; preserve child-centered neutrality.

H2 SECTION 2 - Child Custody Mediation for Co-Parenting and High-Conflict Disputes (3 hrs)
  Internal group: Co-Parenting, Conflict & Family Concerns - internal label only, never the public heading
  - Unlinked H2: Child Custody Mediation for Co-Parenting and High-Conflict Disputes
  - 1-2 sentence section introduction
  - 3 featured cards (linked H3 + one sentence each): High-Conflict Co-Parenting Mediation; Co-Parent Communication Mediation; Mediation for Parents Who Disagree
  - 3 section-first / FAQ topics written on the hub as unlinked H3/H4 content, 150-450 words each: Custody When a Parent Has Addiction Concerns; Custody When a Parent Has Mental Health Concerns; Supervised Parenting Time Discussions
  Guardrail: safety-sensitive. Route addiction, mental health, and supervision topics to suitability and safety guidance plus emergency and legal resources. Do not imply every high-conflict matter suits mediation. Avoid clinical claims.

H2 SECTION 3 - Relocation and Changes to Existing Child Custody Orders (2 hrs)
  Internal group: Relocation & Existing Orders - internal label only, never the public heading
  - Unlinked H2: Relocation and Changes to Existing Child Custody Orders
  - 1-2 sentence section introduction
  - 1 featured card (linked H3 + one sentence): Relocation Discussions in Mediation
  - 1 section-first topic written on the hub as unlinked H3/H4 content, 150-450 words: Custody Mediation After Temporary Orders
  Cross-link to Relocation After Divorce Mediation on the Post-Decree hub so pre-decree and post-decree relocation intent stay separated.
  Guardrail: preserve legal guardrails around notice requirements and court approval for relocation.

H2 SECTION 4 - Grandparent and Extended-Family Custody Mediation (3 hrs)
  Internal group: Grandparents & Extended Family - internal label only, never the public heading
  - Unlinked H2: Grandparent and Extended-Family Custody Mediation
  - 1-2 sentence section introduction
  - No featured cards and no text links in this module - it is a content-only section.
  - 2 section-first / FAQ topics written on the hub as unlinked H3/H4 content, 150-450 words each: Grandparents' Rights Mediation; Grandparent Visitation Discussion in Mediation
  Do not create child URLs for these topics.
  SCOPE CHANGE: the existing strategy row Core Situational Content Page - Grandparent Rights Mediation (4 hours, August) is a standalone page. V4 architecture demotes it to on-hub content. Reallocate those hours or confirm an exception before building a separate URL.
  Guardrail: explain the limited circumstances in which mediation may support family discussions; make clear that third-party legal rights require independent advice. Avoid implying representation.

H2 SECTION 5 - Arizona Child Custody Mediation FAQs and Resources (2 hrs)
  Internal group: FAQs & Supporting Education - internal label only, never the public heading
  - Unlinked H2: Arizona Child Custody Mediation FAQs and Resources
  - 1-2 sentence section introduction
  - No featured cards and no text links in this module.
  - 1 section-first topic written on the hub as unlinked H3/H4 content: Child Custody Mediation FAQ, 600-1,200 words with FAQPage schema applied to the parent page.
  Promote to /child-custody-mediation/child-custody-mediation-faq/ only if demand and depth validate it.
  Guardrail: keep answers concise; link only to approved pages with distinct search intent.

H2 SECTION 6 - Emergency Child Custody and Safety Considerations (2 hrs)
  Internal group: Safety & Emergency Guardrails - internal label only, never the public heading
  - Unlinked H2: Emergency Child Custody and Safety Considerations
  - 1-2 sentence section introduction
  - Content section only. No featured cards, no text links, no section-first topics.
  - State plainly that mediation is not a substitute for emergency court relief or immediate safety planning, and surface approved emergency, court, and legal resources.
  Do not surface Custody Mediation and Domestic Violence Concerns, Emergency Custody and Mediation, or Emergency Parenting Orders Mediation (governance: do not build).
  CONFLICT TO RESOLVE: the existing strategy backlog contains Core Situational Content Page - Emergency Custody Mediation (Child Custody - Situational Page). V4 architecture classifies this as Do Not Build. Retire that backlog row.
  Guardrail: mandatory legal review. Route urgent matters to emergency help and court resources.

PUBLISHING SEQUENCE
- Phase 1 (this row): publish the page frame, every H2 heading, every section introduction, and every unlinked on-hub H3/H4 topic. Those need no child URLs and go live immediately.
- Phase 2 (this row): stage the featured-card and text-link slots for each approved child page. Where the child page is already live, activate the link now. Where it is not, leave the slot built but unpublished.
- Phase 3 (expansion page rows): as each child page publishes, switch on its prepared card or anchor. No hub rebuild required - the section already exists.","Child custody is the highest-volume family-law query family in Arizona and the term most at risk of cannibalization across the custody, parenting plan, and divorce hubs. A single well-scoped hub using correct Arizona terminology tells Google which page owns the term, resolves that overlap, and lets the site rank for the colloquial custody phrasing users search while remaining accurate to the statutory language the courts and AI systems reference. Building the page frame and all six H2 sections as one deliverable means the hub is structurally complete before any expansion page is written, so each child page publishes into a section that already ranks and already passes internal authority - rather than arriving as an orphan that triggers a hub rewrite.",,,,,20,,,
,,"Core Process Content Page
- Legal Decision-Making Mediation (Child Custody Mediation - Featured H3 Card)","URL: /child-custody-mediation/legal-decision-making-mediation/ (new build)
- Process Page Brief, 1,200-2,000 words. Tier 3, Wave 1, Priority High.
- Explain joint versus sole legal decision-making, how final say can be allocated by category, and how parents build a workable decision protocol.
- Required return link to Child Custody Mediation. Internal links: Child Custody Mediation; Pricing; How Mediation Works; Free Consultation.
- Placement: featured linked H3 card in the Child Custody, Legal Decision-Making, and Your Child's Best Interests module.
Guardrail: avoid promising outcomes; preserve child-centered neutrality.","Legal decision-making is Arizona's actual statutory term and the phrase courts, attorneys, and AI systems use, yet almost no mediation site targets it directly. Owning the exact statutory language positions Aurit as the jurisdictionally precise source, which is the strongest differentiator available in a crowded custody SERP.",,,,,,,4,
,,"Core Educational Content Page
- Legal Decision-Making vs Parenting Time (Child Custody Mediation - Featured H3 Card)","URL: /child-custody-mediation/legal-decision-making-vs-parenting-time/ (new build)
- Educational / Glossary Brief, 800-1,500 words. Tier 4, Wave 4, Priority Medium.
- Draw the distinction clearly, show how each is decided separately, and correct the assumption that one determines the other.
- Required return link to Child Custody Mediation. Internal links: Child Custody Mediation; Parenting Time Schedule Mediation; Pricing; Free Consultation.
- Placement: featured linked H3 card in the Child Custody, Legal Decision-Making, and Your Child's Best Interests module.
Guardrail: avoid promising outcomes.","Corrects the most common misconception in Arizona custody and answers a comparison question with clear search demand. Definitional comparison content is heavily favored in AI retrieval because it resolves ambiguity in a single passage, and it doubles as the internal-linking hinge between the custody and parenting plan hubs.",,,,,,,,3
,,"Core Educational Content Page
- Best Interests of the Child in Mediation (Child Custody Mediation - Featured H3 Card)","URL: /child-custody-mediation/best-interests-of-the-child-in-mediation/ (new build)
- Educational / Glossary Brief, 800-1,500 words. Tier 4, Wave 4, Priority Medium.
- Walk through the Arizona best-interest factors and how parents apply them to their own decisions in mediation rather than arguing them to a judge.
- Required return link to Child Custody Mediation. Internal links: Child Custody Mediation; Pricing; How Mediation Works; Free Consultation.
- Placement: featured linked H3 card in the Child Custody, Legal Decision-Making, and Your Child's Best Interests module.
Guardrail: avoid predicting how a court would weigh any factor in a specific case.","The best-interest standard is the legal framework every custody decision is measured against, making this the most authoritative page in the cluster and a natural citation target. Framing the factors as a self-application tool rather than courtroom argument also reinforces the mediation positioning while capturing statutory-research traffic.",,,,,,,,3
,,"Core Situational Content Page
- High-Conflict Co-Parenting Mediation (Child Custody Mediation - Featured H3 Card)","URL: /child-custody-mediation/high-conflict-co-parenting-mediation/ (new build)
- Situation / Use-Case Brief, 1,100-1,900 words. Tier 3, Wave 1, Priority High.
- Cover structured protocols, low-contact arrangements, written communication rules, and how a neutral reduces escalation points in the plan itself.
- Required return link to Child Custody Mediation. Internal links: Co-Parent Communication Mediation; Parallel Parenting Mediation; When Mediation May Not Be Appropriate; Free Consultation.
- Placement: featured linked H3 card in the Child Custody Mediation for Co-Parenting and High-Conflict Disputes module.
Guardrail: high conflict is not the same as coercion or safety risk. Include suitability limits. Control overlap with Parallel Parenting Mediation on the Parenting Plan hub.","High-conflict parents generate the most repeat legal spend of any family-law segment, and they search with urgency after each incident. Owning this term positions mediation as the exit from a litigation cycle rather than a soft alternative, which is the framing that converts this audience.",,,,,,,4,
,,"Core Situational Content Page
- Co-Parent Communication Mediation (Child Custody Mediation - Featured H3 Card)","URL: /child-custody-mediation/co-parent-communication-mediation/ (new build)
- Situation / Use-Case Brief, 1,100-1,900 words. Tier 4, Wave 4, Priority Medium.
- Cover communication protocols, response-time expectations, parenting app selection, tone rules, and what belongs in writing.
- Required return link to Child Custody Mediation. Internal links: High-Conflict Co-Parenting Mediation; Parenting App and Communication Protocol Mediation; Pricing; Free Consultation.
- Placement: featured linked H3 card in the Child Custody Mediation for Co-Parenting and High-Conflict Disputes module.
Guardrail: preserve neutrality; avoid characterizing either parent's communication style.","Communication breakdown is the trigger event that sends co-parents searching, which makes this a high-frequency, high-engagement entry point. It also creates a natural service extension into communication-protocol sessions, generating shorter and more repeatable engagements than full custody mediation.",,,,,,,,4
,,"Core Situational Content Page
- Mediation for Parents Who Disagree (Child Custody Mediation - Featured H3 Card)","URL: /child-custody-mediation/mediation-for-parents-who-disagree/ (new build)
- Situation / Use-Case Brief, 1,100-1,900 words. Tier 4, Wave 4, Priority Medium.
- Explain how a neutral moves parents from position to interest, sequences issues, and secures partial agreements when full agreement is not immediately reachable.
- Required return link to Child Custody Mediation. Internal links: Child Custody Mediation; High-Conflict Co-Parenting Mediation; Pricing; Free Consultation.
- Placement: featured linked H3 card in the Child Custody Mediation for Co-Parenting and High-Conflict Disputes module.
Guardrail: preserve neutrality; do not imply one parent is the obstacle.",Mirrors the divorce cluster's disagreement page and captures the parenting version of the same self-disqualifying doubt. Plain-language phrasing matches how parents actually search - and how they phrase questions to AI assistants - rather than the service vocabulary competitors optimize for.,,,,,,,,4
,,"Live Page V4 Retrofit
- Relocation Discussions in Mediation (Child Custody Mediation - Featured H3 Card)","URL: /child-custody-mediation/relocation-discussions-in-mediation/ - a Relocation / Move-Away Mediation page is already published (ClickUp 86b9332hv, marked Complete). Retrofit only, no new draft:
- Confirm the live URL and align it to the approved path, redirecting if the slug differs.
- Add or verify the required return link to the Child Custody Mediation hub.
- Add or verify internal links to Custody Mediation After Temporary Orders and Relocation After Divorce Mediation.
- Verify Arizona relocation statute references, notice requirements, and best-interest framing are current.
- Place as the featured linked H3 card in the Relocation and Changes to Existing Child Custody Orders module.",Brings an existing high-intent asset into the hub structure so it finally receives internal authority. Verifying the statutory notice references also protects accuracy on the one custody topic where an out-of-date timeline could cause real harm to a reader and real reputational damage to the firm.,,,,,1,,,
,,=== SPOUSAL MAINTENANCE MEDIATION HUB CLUSTER (10 URLs / 9 child links / 11 on-hub topics / 0 not surfaced) ===,,,,,,,,,,
